>	
120.6172041	22.81630898
120.6165374	22.81346457
120.6160525	22.81141659
120.6156292	22.80925504
120.6150247	22.8061265
120.6145417	22.80342466
120.6142722	22.80080592
120.6143696	22.79921689
120.6143773	22.79648782
120.614322	22.79432715
120.61415	22.79009095
120.6137328	22.7857387
120.6134153	22.78260961
120.6128705	22.77689425
120.6104259	22.75313175
120.6095788	22.74119487
120.6095827	22.73983161
120.6095226	22.7384682
120.6028853	22.67576853
120.6014281	22.67175615
120.6006578	22.6692688
120.5985116	22.66458121
120.5979183	22.66065114
120.5963741	22.65695919
120.5950863	22.65422999
120.5931179	22.64797133
120.5925957	22.6452066
120.5920585	22.64276279
120.591882	22.64107791
120.591886	22.63973036
120.5920737	22.63762529
120.592717	22.6348476
120.5938187	22.63047084
120.5949182	22.62676785
120.5962005	22.62264419
120.5965019	22.62198192
>	
121.1365265	22.87283194
121.1360773	22.87026629
121.1350927	22.86828052
121.1342262	22.86625238
121.1327953	22.86398401
121.1304798	22.86140113
121.1278915	22.85806192
121.124758	22.85346222
121.1227141	22.84993335
121.1205028	22.84553391
121.1184833	22.84107281
121.1173581	22.83463916
121.1160082	22.82727162
121.1149957	22.82146056
121.1146531	22.81346957
121.1144267	22.81046005
121.1141979	22.80454462
121.1140806	22.79811019
121.1143504	22.79280516
121.1147937	22.78907991
121.1158626	22.78618197
121.1200835	22.77880908
121.1269289	22.76842784
121.1354864	22.75776443
121.1436405	22.74803569
>	
120.6166311	22.62123874
120.6156151	22.61094693
120.6147597	22.59838397
120.6136406	22.59094871
120.6137087	22.58396084
120.6132062	22.57247918
120.6121758	22.55945312
120.6112895	22.5447169
120.6108408	22.53696066
120.6103756	22.51631783
120.6102686	22.50886685
120.6069382	22.48954263
120.6044875	22.47305219
120.6046058	22.44950608
120.6046767	22.4353784
120.6056035	22.41889882
120.6065419	22.40006455
120.60569	22.38358373
120.6067105	22.36631485
120.6059177	22.35610869
120.6082314	22.33884736
120.6091902	22.33224818
