Label,Num,Site,lon,lat,East,North
7,169,SONA,120.98584,24.39781,-7.707463915,7.707463915
7,142,NSAN,121.3828,24.4282,-3.604240195,10.70978303
7,121,GS61,121.20048,24.6788,-2.588322103,7.780783295
7,66,BALN,121.42612,24.69948,-2.904759747,8.939931253
7,122,GS62,121.24302,24.73348,-1.004605653,7.735035067
7,178,THAI,121.29559,24.60712,-1.109011025,9.03216998
7,150,PLAN,121.0866,24.57895,-1.096824091,8.932915365
7,84,GS01,121.50816,24.982,2.800723174,4.499549944
7,75,CLAN,121.512,24.60225,3.379482908,5.66913532
7,182,TUCN,121.49613,24.57484,6.874366301,8.458905837
7,141,NIUT,121.56158,24.63478,5.868986284,5.868986284
7,83,FUSN,121.33146,24.79904,0.095814636,6.099247458
7,187,WIPN,121.05855,24.67463,-2.490815808,5.568288481
7,146,PAOS,120.95028,24.71492,-1.882066901,4.954576085
7,132,KSHI,121.17603,24.77666,-2.206288199,4.818951378
7,179,TOFN,120.9248,24.66204,-2.1726978,3.358479458
7,162,SANI,120.76873,24.41435,-2.316714376,3.622545307
7,97,GS15,120.9905,24.76665,-1.19946634,3.605728844
7,86,GS03,121.04407,24.7766,-1.512919088,4.025056004
7,172,STA1,120.97926,24.6356,-1.512786575,4.344131303
7,98,GS16,121.04161,24.74787,-1.603431418,4.311497152
7,173,SUAN,120.29988,23.47757,-3.795397604,0.897193975
7,130,ICHU,120.2793,23.36066,-4.959086594,1.190571356
7,74,CHYN,120.2908,23.39327,-4.695108484,0.997976116
7,77,DAHU,120.87183,24.42288,-4.838067151,2.61593315
7,102,GS22,120.6039,24.09133,-2.999231344,1.601440396
7,144,PAKU,120.63603,23.91568,-4.490131348,1.69667925
7,106,GS26,120.5787,23.82489,-4.371281572,1.982901263
7,166,SGUN,120.69188,24.27163,-3.626781998,1.912185225
7,107,GS27,120.64631,23.87021,-3.582466114,1.99397506
7,149,PINT,120.64056,23.75606,-3.681673728,2.587523634
7,139,MIAO,120.81026,24.58345,-3.690150499,2.396411754
7,103,GS23,120.64816,24.0937,-3.622545307,2.316714376
7,114,GS37,120.7154,24.3286,-3.874100355,2.08598812
7,105,GS25,120.64059,23.98667,-3.987725045,2.293043603
7,71,CHKU,120.09275,23.05584,-2.161293028,-0.78664633
7,135,LIYU,120.7818,24.34306,-1.775314083,-0.297085691
7,127,HOKN,120.13488,23.18838,-1.876607847,-0.297225484
7,70,CHIN,120.58215,24.27101,-0.313431361,-0.625907966
7,153,PUSN,120.52011,23.96494,-1.02133441,-0.408504619
7,138,MATZ,119.92306,26.16939,-0.915149534,-0.61032887
7,137,LUKN,120.43513,24.06001,-2.011427239,0.603457092
7,104,GS24,120.52644,24.02564,-1.7191714,0.808980654
7,116,GS39,120.5296,24.1844,-1.199526988,0.900630338
7,115,GS38,120.6006,24.2798,-1.485577323,0.594188537
7,101,GS21,120.51241,24.09648,-1.378703009,0.590912864
7,85,GS02,120.98234,24.80972,-2.195285661,1.894919752
7,181,TSIO,120.7041,24.47279,-1.767766953,1.767766953
7,117,GS40,120.5763,24.1812,-1.717718777,1.816436677
7,177,TEGS,120.65498,24.35621,-1.883463289,1.487469676
7,161,SALU,120.5783,24.14445,-1.794715417,1.59342291
7,92,GS10,121.46155,25.14615,-1.48492424,1.48492424
7,113,GS36,120.6253,24.362,-1.668270703,1.275489263
7,73,CHUA,120.5573,24.06605,-1.565839758,1.07617185
7,191,YAME,121.18529,24.90845,-0.20164167,3.394015415
7,96,GS14,120.95945,24.80322,-0.493607548,2.857682906
7,93,GS11,121.49877,25.13357,-0.099808304,2.598083583
7,128,HSIN,121.01425,24.82775,-0.60496646,2.322502009
7,133,KYIN,121.08042,25.04105,-0.601411599,1.907433901
7,129,HUWE,120.28662,23.7294,-0.690596398,1.876986046
7,165,SFON,121.01016,24.93289,-0.408504619,1.02133441
7,78,ERLN,120.41955,23.79759,-0.099410851,1.496702202
7,176,TANS,121.42689,25.1815,1.813368792,-2.514297839
7,198,YSAN,120.08598,23.14655,0.197261725,-1.386033121
7,195,YM04,121.58547,25.1876,0.792733869,-1.389810423
7,124,GS69,121.37797,24.96777,2.71230571,2.212102559
7,192,YM01,121.53954,25.17888,2.412666954,1.60904884
7,158,S101,121.61385,25.04045,2.381678923,1.984340068
7,136,LNKO,121.37818,25.07637,1.409960392,3.420820324
7,94,GS12,121.38276,25.05303,1.282754294,3.256461488
7,67,BANC,121.4421,24.99765,1.594831865,2.889032939
7,95,GS13,121.45224,25.02001,2.07436428,3.063823238
7,65,ANKN,121.52472,24.9591,2.07436428,3.063823238
7,189,WUKU,121.40066,25.11728,1.280301256,2.262924809
7,90,GS08,121.50149,25.20373,1.08954706,2.579319136
7,180,TSHI,121.63276,25.25691,1.767766953,1.767766953
7,126,HERI,121.58092,25.29444,1.399372085,1.697574083
7,151,PLIN,121.71395,24.93362,1.383996381,0.987195025
7,163,SANJ,121.50087,25.26079,0.590912864,1.378703009
7,152,PNCY,122.07944,25.6275,0.67571372,0.867992493
7,82,FUNY,120.32017,23.92231,0.989949494,0.989949494
7,157,S01R,119.59237,23.65527,0,0
7,145,PANG,119.56374,23.5652,0.776236581,-0.193537516
7,80,FLON,121.93748,25.02037,4.231661762,-1.205420562
7,100,GS19,121.67981,25.07174,4.41057078,1.306470586
7,79,FIVE,121.78107,25.07105,3.978212478,0.991879772
7,197,YNTS,121.77893,24.86174,4.326321593,0.801836312
7,168,SLNP,121.63563,24.75311,4.13995457,0.707655394
7,185,WANL,121.63756,25.16938,3.605728844,1.19946634
7,91,GS09,121.65193,25.20861,3.207269553,1.401221614
7,196,YM05,121.56548,25.164,3.288924173,1.197070502
7,175,TAIP,121.67317,25.03452,3.363136108,1.284256798
7,194,YM03,121.6049,25.14661,3.548532489,0.606561766
7,193,YM02,121.56069,25.14838,3.193685531,0.200929662
8,225,KULN,120.50702,23.33098,-23.05854482,3.98290228
8,226,LAIG,120.7399,23.5294,-26.63754796,4.985081602
8,228,LOYE,120.7012,23.4686,-23.9302866,5.700998426
8,202,C002,120.57719,23.36174,-25.30252363,6.402522771
8,201,C001,120.61239,23.41794,-24.39874639,7.412905937
8,248,TSLN,120.71938,23.63432,-19.93410829,7.216046465
8,247,TENC,120.91567,23.27779,-21.83152773,6.218874264
8,214,GS42,120.452,23.2732,-18.18828752,2.783199093
8,210,GS17,120.60584,23.56115,-16.8702777,5.677475706
8,215,GS63,120.62683,23.54326,-17.59986596,5.013453702
8,205,CHUK,120.60472,23.43871,-16.88778865,4.588310626
8,250,W029,120.66425,23.54079,-18.61046824,4.296565138
8,209,GS07,120.65483,23.48291,-19.05191627,5.391148891
8,220,HOPN,120.89488,24.17078,-15.32531222,7.808636596
8,208,FUQE,120.82331,24.01115,-13.33177139,9.026287812
8,221,HSUE,121.02645,24.28059,-15.97606776,11.86487501
8,219,GUKW,121.00655,24.2022,-14.89017569,11.80180783
8,237,PEPU,121.61034,24.01788,-17.85544156,8.785966471
8,252,YUNL,120.79857,23.88388,-18.75811655,8.987383575
8,230,LUGU,120.74769,23.75226,-18.60943831,8.59876769
8,204,CHNL,120.56347,23.37714,-18.2958458,10.90651302
8,203,CHIU,120.8289,23.94538,-17.84515659,11.81145149
8,249,TUNM,121.49358,23.96521,-19.99290094,15.17543778
8,223,HUAN,121.27262,24.14347,-16.80078719,15.99917341
8,245,SUN1,120.90835,23.88124,-21.48364743,11.5677523
8,239,S167,120.9341,23.95442,-20.77488001,10.76867496
8,206,DPIN,120.9328,24.04308,-19.90307194,10.49369941
8,229,LSAN,121.18216,24.02934,-22.8168554,11.82713447
8,241,SANL,120.76855,23.66448,-23.29854647,11.31316632
8,224,HUYS,121.02941,24.09233,-22.82936878,11.13462713
8,240,S170,120.76763,23.74596,-22.64441939,9.611985761
8,231,LUSN,121.18605,24.03519,-23.76984481,10.28613037
8,207,FKDO,120.85627,23.68355,-24.82323643,13.59032498
8,244,SLIN,121.4414,23.81185,-22.33525849,15.52340904
8,222,HUAL,121.61351,23.97538,-23.22569758,14.91063285
8,232,MESN,120.82626,23.26363,-33.27121676,3.908469693
8,243,SILN,120.64604,23.16038,-35.1054696,2.577984539
8,238,S012,120.48826,23.05947,-34.63527751,2.118384322
8,251,WANC,120.52633,23.18684,-31.80929042,5.608836139
8,235,MOTN,121.02685,23.20054,-32.53350019,6.619015423
8,233,MINS,120.7209,23.2754,-32.20824578,6.20233053
8,246,TAPU,120.58541,23.2508,-30.19325499,7.026190531
8,218,GS67,120.67515,23.33968,-29.75756862,6.216679976
8,216,GS64,120.71215,23.40764,-29.71280158,4.81242375
8,217,GS66,120.7415,23.45619,-28.51193547,4.720120309
8,200,ALIS,120.81329,23.50817,-28.61380137,5.821543685
8,234,MITO,120.26315,22.79585,-24.70442226,-6.712042973
8,227,LNCH,120.40261,22.99458,-23.67056264,-6.698094077
8,242,SHWA,120.34781,23.02143,-20.45170208,-3.79049893
8,211,GS32,120.33584,23.02714,-19.53438095,-3.797099008
8,253,ZWEN,120.49734,23.21974,-24.8981417,0.304203321
8,213,GS35,120.30849,22.93581,-23.48736664,-2.302956434
8,236,NCKU,120.27581,22.93845,-23.47938651,-0.984077863
8,212,GS34,120.27632,22.93612,-22.9684793,-1.203726994
9,276,HANS,121.68714,24.60951,19.54983935,-1.401349909
9,278,ILAN,121.75662,24.76404,7.791463907,-4.090610002
9,279,LTUN,121.77162,24.70003,12.57434517,-6.379329401
9,275,GS20,121.94321,24.8419,13.03142209,-8.016984361
9,280,NAAO,121.81021,24.44934,8.802624667,-16.83786801
9,277,HUAP,121.74944,24.309,4.607661099,-11.40436141
10,36,YUSN,120.95914,23.4873,-38.27080348,8.484432866
10,27,GS47,120.737,21.9506,-37.35503282,5.782864612
10,31,PAOL,120.70287,23.10862,-44.41699853,2.716660009
10,26,GAIS,120.59062,23.08029,-40.63208346,3.697809272
10,32,PEIN,121.12313,22.80107,-47.54315197,9.586381008
10,28,GS57,120.76485,22.12753,-46.39864926,8.097860623
10,25,DANL,120.75191,22.20413,-47.39586272,7.591587228
10,34,TTSH,121.14762,22.74713,-44.13242884,13.32436584
10,29,GS58,120.83892,22.12637,-40.79705919,14.20703914
10,33,TATA,120.88705,23.4814,-42.36524793,14.25748113
10,24,DAJN,120.86497,22.3113,-42.65374511,14.02383784
10,35,TTUN,121.0807,22.76455,-42.32741338,12.37740186
10,30,GS60,120.80973,22.00754,-41.36847498,13.12285326
10,274,YULI,121.30113,23.34093,-31.36319889,25.30691122
10,264,MFEN,121.17247,24.08216,-28.2330345,16.4980533
10,267,SHAN,121.19949,23.10886,-29.6291119,18.44249788
10,265,NDHU,121.55081,23.89724,-28.12726546,18.19634407
10,258,DSIN,121.39803,23.63121,-29.33550185,20.69392015
10,273,YUL1,121.30021,23.32138,-28.01745162,22.44621136
10,261,JPEI,121.37139,23.5316,-27.89954002,22.59260204
10,263,LONT,121.13056,22.90631,-39.20287312,20.84453739
10,269,TAPE,121.23087,23.12557,-36.24423142,20.00789067
10,254,CHIH,121.20598,23.11584,-34.38469887,17.97588616
10,271,WANS,120.88519,23.6075,-30.19255919,12.81598101
10,266,S105,121.11289,22.95165,-30.99798446,13.22176083
10,262,KUAN,121.16425,23.04968,-30.55899757,14.90461899
10,259,HLIU,120.99417,23.79303,-31.96499649,14.49996549
10,255,CHUL,121.12568,23.13236,-32.40561329,14.49573134
10,270,TMAL,120.95987,22.64892,-34.04481922,11.39123716
10,256,DASI,120.94441,22.47842,-36.04504197,11.71174409
10,260,HRGN,121.4051,23.55528,-39.4820543,30.51519931
10,257,DNFU,121.48228,23.68512,-36.99210816,27.17340491
10,272,YENL,121.60184,23.9035,-25.31516127,27.53003106
10,268,SHUL,121.56273,23.78761,-28.68161239,32.30487751
